round,action,predicted_effective_fidelity,F_before,F_after,channel_available,purified
153,HALT,0.6380449533462524,0.0,,False,False
154,HALT,0.6460437178611755,0.0,,False,False
155,PURIFY,0.6500481963157654,0.6561597844751935,0.686138314279921,True,True
156,HALT,0.6467529535293579,0.0,,False,False
157,HALT,0.639155387878418,0.6484541837136786,,True,False
158,HALT,0.6465144753456116,0.6488007892538087,,True,False
159,HALT,0.6429596543312073,0.0,,False,False
160,HALT,0.6444698572158813,0.6513967921734443,,True,False
161,PURIFY,0.6500820517539978,0.6613024092257471,0.6920137842417142,True,True
162,HALT,0.6369653344154358,0.6509185809921169,,True,False
163,HALT,0.6321197152137756,0.6396284663503856,,True,False
164,HALT,0.629608690738678,0.0,,False,False
165,HALT,0.6369631886482239,0.6506520445373848,,True,False
166,HALT,0.6400741338729858,0.659591269684387,,True,False
167,HALT,0.6456445455551147,0.6549805581481448,,True,False
168,HALT,0.6487656831741333,0.0,,False,False
169,HALT,0.6479781866073608,0.655124261598107,,True,False
170,HALT,0.6456223726272583,0.6534374359250352,,True,False
171,HALT,0.6321862936019897,0.0,,False,False
172,HALT,0.6243507862091064,0.0,,False,False
173,HALT,0.6309698224067688,0.0,,False,False
174,HALT,0.6273404955863953,0.6409144130124238,,True,False
175,HALT,0.6282114386558533,0.0,,False,False
176,HALT,0.6194729208946228,0.6483369852790619,,True,False
177,HALT,0.6288740634918213,0.6583378232442679,,True,False
178,HALT,0.6343801617622375,0.6384073751575816,,True,False
179,HALT,0.6456169486045837,0.6583934122963053,,True,False
180,HALT,0.6418506503105164,0.0,,False,False
181,HALT,0.6433748602867126,0.0,,False,False
182,HALT,0.6439552903175354,0.658956439055708,,True,False
183,HALT,0.6477699875831604,0.0,,False,False
184,PURIFY,0.6546658277511597,0.6723726771057152,0.7045674696399601,True,True
185,PURIFY,0.650809109210968,0.6644686879028725,0.6956176707051609,True,True
186,PURIFY,0.6590014100074768,0.67283929428741,0.7050937052545772,True,True
187,PURIFY,0.6526544094085693,0.6682973240895712,0.6999613002085308,True,True
188,PURIFY,0.6563675999641418,0.6642254192243777,0.6953411533058645,True,True
189,PURIFY,0.6544234752655029,0.6654048773338609,0.6966812299225218,True,True
190,HALT,0.6419074535369873,0.6490632765013636,,True,False
191,HALT,0.6373987793922424,0.64852451368597,,True,False
192,HALT,0.6317984461784363,0.6377608052724424,,True,False
193,HALT,0.6419230103492737,0.0,,False,False
194,HALT,0.6221503615379333,0.0,,False,False
195,HALT,0.6179161071777344,0.6245978188881058,,True,False
196,HALT,0.64312744140625,0.6579818126710629,,True,False
197,HALT,0.6235714554786682,0.0,,False,False
198,HALT,0.6413395404815674,0.6611213595318762,,True,False
199,HALT,0.6415290236473083,0.0,,False,False
200,PURIFY,0.6522408127784729,0.6679402887088164,0.699556902716201,True,True
201,PURIFY,0.6525861620903015,0.0,,False,False
202,PURIFY,0.6604516506195068,0.6829807752832754,0.7164707264306215,True,True
203,PURIFY,0.6540854573249817,0.6777540588052565,0.7106217337779479,True,True
204,HALT,0.6485141515731812,0.6675688558936147,,True,False
205,PURIFY,0.6634405255317688,0.676726341376305,0.7094680107433218,True,True
206,HALT,0.6425065398216248,0.6592525713770095,,True,False
207,PURIFY,0.6510165929794312,0.6663229832516072,0.6977233418543117,True,True
208,HALT,0.6489548087120056,0.0,,False,False
209,HALT,0.6489784717559814,0.0,,False,False
210,HALT,0.6419885754585266,0.0,,False,False
211,HALT,0.6457107663154602,0.0,,False,False
212,HALT,0.6481346487998962,0.0,,False,False
213,HALT,0.6429831981658936,0.6486007020675542,,True,False
214,PURIFY,0.6528088450431824,0.6670480505666778,0.6985457068173934,True,True
215,HALT,0.6496863961219788,0.6596078702184303,,True,False
216,HALT,0.6311450600624084,0.6439944539169249,,True,False
217,HALT,0.6318608522415161,0.0,,False,False
