c_inference_J,c_qpu_J,c_failure_J,c_fidelity_purify_J,benefit_purify_J,c_latency_wait_J,c_energy_memory_wait_J,c_missed_opportunity_halt_J,p_good,c_inference_J_norm,c_qpu_J_norm,c_failure_J_norm,c_fidelity_purify_J_norm,benefit_purify_J_norm,c_latency_wait_J_norm,c_energy_memory_wait_J_norm,c_missed_opportunity_halt_J_norm
5e-05,9.999999999999999e-06,7.021638964602568e-07,1.4829304822538776e-06,2.5284491962435376e-05,1e-09,1e-08,2.5284491962435376e-05,0.5056898392487075,0.0,0.0,0.002411348064577998,0.3592629968490415,0.6407370031509623,0.0,0.0,0.6407370031509623
5e-05,9.999999999999999e-06,7.036078112280899e-07,1.4825934802535818e-06,2.5290108662440303e-05,1e-09,1e-08,2.5290108662440303e-05,0.505802173248806,0.0,0.0,0.018167656589303013,0.3503530288154566,0.6496469711845415,0.0,0.0,0.6496469711845415
5e-05,9.999999999999999e-06,7.10121573714932e-07,1.4830039442243567e-06,2.5283267596260724e-05,1e-09,1e-08,2.5283267596260724e-05,0.5056653519252144,0.0,0.0,0.08924723392023362,0.36120525181511964,0.6387947481848832,0.0,0.0,0.6387947481848832
5e-05,9.999999999999999e-06,7.107328695326487e-07,1.4806046577261195e-06,2.5323255704564674e-05,1e-09,1e-08,2.5323255704564674e-05,0.5064651140912935,0.0,0.0,0.0959178253695282,0.2977707143822851,0.7022292856177131,0.0,0.0,0.7022292856177131
5e-05,9.999999999999999e-06,7.03006361038149e-07,1.4863770817499522e-06,2.52270486375008e-05,1e-09,1e-08,2.52270486375008e-05,0.504540972750016,0.0,0.0,0.011604502748037804,0.4503873560743221,0.5496126439256819,0.0,0.0,0.5496126439256819
5e-05,9.999999999999999e-06,7.038002295810202e-07,1.4844963427886989e-06,2.5258394286855018e-05,1e-09,1e-08,2.5258394286855018e-05,0.5051678857371004,0.0,0.0,0.020267367044608495,0.40066265411535534,0.5993373458846412,0.0,0.0,0.5993373458846412
5e-05,9.999999999999999e-06,7.037311945714463e-07,1.4847951875281417e-06,2.525341354119764e-05,1e-09,1e-08,2.525341354119764e-05,0.5050682708239528,0.0,0.0,0.019514042171087834,0.40856378548283634,0.5914362145171671,0.0,0.0,0.5914362145171671
5e-05,9.999999999999999e-06,7.034652740958273e-07,1.4855344046456361e-06,2.5241093255906067e-05,1e-09,1e-08,2.5241093255906067e-05,0.5048218651181213,0.0,0.0,0.016612260743100404,0.42810788575812325,0.571892114241879,0.0,0.0,0.571892114241879
5e-05,9.999999999999999e-06,7.035343400819569e-07,1.4857485895701643e-06,2.5237523507163928e-05,1e-09,1e-08,2.5237523507163928e-05,0.5047504701432786,0.0,0.0,0.01736592363946,0.4337707032759629,0.5662292967240358,0.0,0.0,0.5662292967240358
5e-05,9.999999999999999e-06,7.099492817293493e-07,1.472554241066716e-06,2.5457429315554736e-05,1e-09,1e-08,2.5457429315554736e-05,0.5091485863110947,0.0,0.0,0.08736714671449562,0.08492641366786176,0.915073586332139,0.0,0.0,0.915073586332139
5e-05,9.999999999999999e-06,7.115311054937037e-07,1.4910322260673923e-06,2.5149462898876798e-05,1e-09,1e-08,2.5149462898876798e-05,0.5029892579775359,0.0,0.0,0.10462834787272851,0.5734643319489662,0.4265356680510358,0.0,0.0,0.4265356680510358
5e-05,9.999999999999999e-06,7.1313448455453e-07,1.4948689417362524e-06,2.508551763772913e-05,1e-09,1e-08,2.508551763772913e-05,0.5017103527545825,0.0,0.0,0.12212476506248807,0.6749029404245563,0.32509705957544677,0.0,0.0,0.32509705957544677
5e-05,9.999999999999999e-06,7.05454052761215e-07,1.4883464040128527e-06,2.5194226599785793e-05,1e-09,1e-08,2.5194226599785793e-05,0.5038845319957158,0.0,0.0,0.03831424131517067,0.5024541046243829,0.49754589537562144,0.0,0.0,0.49754589537562144
