round,F_left,left_available,F_right,right_available,F_swapped,swap_success
36,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
37,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
38,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
39,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
40,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
41,0.0,0.0,0.7099457893657827,1.0,0.0,False
42,0.0,0.0,0.7099457893657827,1.0,0.0,False
43,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
44,0.0,0.0,0.7099457893657827,1.0,0.0,False
45,0.0,0.0,0.7099457893657827,1.0,0.0,False
46,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
47,0.7099457893657827,1.0,0.0,0.0,0.0,False
48,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
49,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
50,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
51,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
52,0.0,0.0,0.7099457893657827,1.0,0.0,False
53,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
54,0.0,0.0,0.7099457893657827,1.0,0.0,False
55,0.0,0.0,0.0,0.0,0.0,False
56,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
57,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
58,0.7099457893657827,1.0,0.0,0.0,0.0,False
59,0.7099457893657827,1.0,0.0,0.0,0.0,False
60,0.7099457893657827,1.0,0.0,0.0,0.0,False
61,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
62,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
63,0.0,0.0,0.7099457893657827,1.0,0.0,False
64,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
65,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
66,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
67,0.7099457893657827,1.0,0.0,0.0,0.0,False
68,0.7099457893657827,1.0,0.0,0.0,0.0,False
69,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
70,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
71,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
72,0.0,0.0,0.0,0.0,0.0,False
73,0.7099457893657827,1.0,0.0,0.0,0.0,False
74,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
75,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
76,0.7099457893657827,1.0,0.0,0.0,0.0,False
77,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
78,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
79,0.0,0.0,0.7099457893657827,1.0,0.0,False
80,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
81,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
82,0.0,0.0,0.0,0.0,0.0,False
83,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
84,0.7099457893657827,1.0,0.0,0.0,0.0,False
85,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
86,0.0,0.0,0.7099457893657827,1.0,0.0,False
87,0.7099457893657827,1.0,0.0,0.0,0.0,False
88,0.7099457893657827,1.0,0.0,0.0,0.0,False
89,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
90,0.7099457893657827,1.0,0.0,0.0,0.0,False
91,0.0,0.0,0.7099457893657827,1.0,0.0,False
92,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
93,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
94,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
95,0.7099457893657827,1.0,0.0,0.0,0.0,False
96,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
97,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
98,0.7099457893657827,1.0,0.0,0.0,0.0,False
99,0.0,0.0,0.0,0.0,0.0,False
100,0.0,0.0,0.7099457893657827,1.0,0.0,False
101,0.0,0.0,0.0,0.0,0.0,False
102,0.7099457893657827,1.0,0.0,0.0,0.0,False
103,0.0,0.0,0.7099457893657827,1.0,0.0,False
104,0.0,0.0,0.0,0.0,0.0,False
105,0.0,0.0,0.7099457893657827,1.0,0.0,False
106,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
107,0.7099457893657827,1.0,0.0,0.0,0.0,False
108,0.7099457893657827,1.0,0.0,0.0,0.0,False
109,0.0,0.0,0.7099457893657827,1.0,0.0,False
110,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
111,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
112,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
113,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
114,0.7099457893657827,1.0,0.0,0.0,0.0,False
115,0.0,0.0,0.0,0.0,0.0,False
116,0.0,0.0,0.0,0.0,0.0,False
117,0.0,0.0,0.0,0.0,0.0,False
118,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
119,0.7099457893657827,1.0,0.0,0.0,0.0,False
120,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
121,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
122,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
123,0.7099457893657827,1.0,0.0,0.0,0.0,False
124,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
125,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
126,0.7099457893657827,1.0,0.0,0.0,0.0,False
127,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
128,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
129,0.7099457893657827,1.0,0.0,0.0,0.0,False
130,0.7099457893657827,1.0,0.0,0.0,0.0,False
131,0.0,0.0,0.7099457893657827,1.0,0.0,False
132,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
133,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
134,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
135,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
136,0.0,0.0,0.7099457893657827,1.0,0.0,False
137,0.7099457893657827,1.0,0.0,0.0,0.0,False
138,0.0,0.0,0.7099457893657827,1.0,0.0,False
139,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
140,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
141,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
142,0.0,0.0,0.7099457893657827,1.0,0.0,False
143,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
144,0.7099457893657827,1.0,0.0,0.0,0.0,False
145,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
146,0.7099457893657827,1.0,0.0,0.0,0.0,False
147,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
148,0.7099457893657827,1.0,0.0,0.0,0.0,False
