experiment_id,timestamp,git_commit,seed,config_hash,dataset_version,dataset_hash,model,controller,horizon,feature_set,physics_engine,realism_level,MAE,RMSE,R2,coverage,interval_width,fidelity,useful_pairs,QPU_operations,purification_count,false_purification,missed_opportunities,latency,memory,energy,source_experiment,notes
20260821T114609Z_00911140,2026-08-21T11:46:09.553716+00:00,NOT_A_GIT_REPOSITORY,2024.0,,v3-causal,,DualHead,DualHead,,"full (WDM+T1+T2, oracle)",ReferenceEngine (Aer),L1-stochastic,0.012426,,,,,,,,,,,,,,wdm_vs_privileged_10seed,
20260821T114609Z_d51aeb1e,2026-08-21T11:46:09.555002+00:00,NOT_A_GIT_REPOSITORY,31415.0,,v3-causal,,DualHead,DualHead,,WDM-only,ReferenceEngine (Aer),L1-stochastic,0.023612,,,,,,,,,,,,,,wdm_vs_privileged_10seed,
20260821T114609Z_0fa4310a,2026-08-21T11:46:09.557265+00:00,NOT_A_GIT_REPOSITORY,31415.0,,v3-causal,,DualHead,DualHead,,privileged-only (T1+T2),ReferenceEngine (Aer),L1-stochastic,0.025291,,,,,,,,,,,,,,wdm_vs_privileged_10seed,
20260821T114609Z_7c2fc70c,2026-08-21T11:46:09.559525+00:00,NOT_A_GIT_REPOSITORY,31415.0,,v3-causal,,DualHead,DualHead,,"full (WDM+T1+T2, oracle)",ReferenceEngine (Aer),L1-stochastic,0.023958,,,,,,,,,,,,,,wdm_vs_privileged_10seed,
20260821T114609Z_dd8d63f2,2026-08-21T11:46:09.561813+00:00,NOT_A_GIT_REPOSITORY,99.0,,v3-causal,,DualHead,DualHead,,WDM-only,ReferenceEngine (Aer),L1-stochastic,0.015031,,,,,,,,,,,,,,wdm_vs_privileged_10seed,
20260821T114609Z_c4a1cb24,2026-08-21T11:46:09.564174+00:00,NOT_A_GIT_REPOSITORY,99.0,,v3-causal,,DualHead,DualHead,,privileged-only (T1+T2),ReferenceEngine (Aer),L1-stochastic,0.020726,,,,,,,,,,,,,,wdm_vs_privileged_10seed,
20260821T114609Z_a9dcddb6,2026-08-21T11:46:09.566474+00:00,NOT_A_GIT_REPOSITORY,99.0,,v3-causal,,DualHead,DualHead,,"full (WDM+T1+T2, oracle)",ReferenceEngine (Aer),L1-stochastic,0.018401,,,,,,,,,,,,,,wdm_vs_privileged_10seed,
20260821T114609Z_89d0953a,2026-08-21T11:46:09.568814+00:00,NOT_A_GIT_REPOSITORY,555.0,,v3-causal,,DualHead,DualHead,,WDM-only,ReferenceEngine (Aer),L1-stochastic,0.015237,,,,,,,,,,,,,,wdm_vs_privileged_10seed,
20260821T114609Z_fca40603,2026-08-21T11:46:09.570041+00:00,NOT_A_GIT_REPOSITORY,555.0,,v3-causal,,DualHead,DualHead,,privileged-only (T1+T2),ReferenceEngine (Aer),L1-stochastic,0.018824,,,,,,,,,,,,,,wdm_vs_privileged_10seed,
20260821T114609Z_12598a1d,2026-08-21T11:46:09.572357+00:00,NOT_A_GIT_REPOSITORY,555.0,,v3-causal,,DualHead,DualHead,,"full (WDM+T1+T2, oracle)",ReferenceEngine (Aer),L1-stochastic,0.014507,,,,,,,,,,,,,,wdm_vs_privileged_10seed,
